iter	Passed	Remaining
0	1	928
1	3	866
2	4	842
3	6	851
4	8	834
5	9	819
6	11	805
7	12	804
8	14	800
9	15	790
10	17	783
11	18	782
12	20	777
13	21	770
14	23	764
15	24	763
16	26	762
17	27	758
18	29	755
19	30	754
20	32	754
21	34	757
22	35	753
23	37	754
24	38	752
25	40	752
26	42	756
27	43	753
28	45	752
29	46	752
30	48	751
31	50	752
32	51	750
33	53	749
34	55	748
35	56	747
36	58	747
37	60	746
38	61	744
39	63	741
40	64	740
41	66	738
42	67	736
43	69	734
44	70	734
45	72	732
46	74	731
47	75	730
48	77	729
49	78	728
50	80	726
51	82	724
52	83	721
53	85	719
54	86	717
55	87	714
56	89	712
57	91	710
58	92	709
59	94	707
60	95	704
61	97	703
62	98	702
63	100	700
64	101	698
65	103	696
66	104	693
67	106	692
68	107	690
69	109	689
70	110	687
71	112	686
72	114	684
73	115	682
74	117	680
75	118	678
76	120	677
77	121	675
78	123	674
79	124	673
80	126	671
81	128	670
82	129	669
83	131	667
84	132	664
85	134	663
86	135	661
87	137	659
88	139	659
89	140	658
90	142	656
91	143	655
92	145	653
93	147	652
94	148	651
95	150	648
96	151	646
97	153	645
98	154	644
99	156	643
100	157	641
101	159	640
102	161	638
103	162	637
104	164	635
105	165	633
106	167	632
107	169	631
108	170	630
109	172	628
110	173	626
111	175	624
112	176	623
113	178	621
114	179	619
115	181	618
116	183	616
117	184	615
118	186	613
119	187	611
120	189	609
121	190	607
122	192	606
123	193	605
124	195	603
125	197	602
126	198	600
127	200	599
128	201	597
129	203	596
130	205	594
131	206	593
132	208	591
133	209	589
134	211	587
135	212	585
136	214	584
137	215	583
138	217	581
139	218	580
140	220	578
141	221	576
142	223	574
143	225	573
144	226	571
145	228	570
146	229	568
147	231	567
148	232	565
149	234	564
150	235	562
151	237	561
152	239	559
153	240	557
154	242	555
155	243	554
156	244	552
157	246	550
158	247	549
159	249	547
160	251	545
161	252	544
162	254	542
163	255	540
164	257	539
165	258	537
166	260	536
167	261	534
168	263	533
169	265	531
170	266	530
171	268	528
172	269	527
173	271	525
174	272	523
175	274	522
176	276	520
177	277	519
178	279	517
179	280	516
180	282	514
181	284	513
182	285	511
183	287	510
184	288	508
185	290	507
186	291	505
187	293	504
188	294	502
189	296	500
190	298	499
191	299	497
192	301	496
193	302	494
194	304	493
195	305	491
196	307	489
197	308	488
198	310	486
199	312	485
200	313	483
201	315	481
202	316	480
203	318	478
204	319	477
205	321	475
206	322	474
207	324	472
208	326	471
209	327	469
210	329	468
211	330	466
212	332	464
213	333	463
214	335	461
215	336	460
216	338	458
217	340	457
218	341	455
219	343	454
220	344	452
221	346	450
222	347	449
223	349	448
224	351	446
225	352	445
226	354	443
227	356	442
228	357	440
229	359	439
230	360	437
231	362	436
232	364	434
233	365	433
234	367	431
235	369	429
236	370	428
237	372	426
238	373	425
239	375	423
240	376	422
241	378	420
242	380	419
243	381	417
244	383	416
245	384	414
246	386	413
247	388	411
248	389	410
249	391	408
250	393	407
251	394	405
252	396	404
253	398	402
254	399	401
255	401	399
256	403	398
257	404	396
258	406	395
259	407	393
260	409	392
261	411	390
262	412	389
263	414	387
264	415	385
265	417	384
266	418	382
267	420	381
268	422	379
269	423	378
270	425	376
271	427	375
272	428	373
273	430	372
274	431	370
275	433	368
276	435	367
277	436	366
278	438	364
279	439	362
280	441	361
281	443	359
282	444	358
283	446	356
284	447	355
285	449	353
286	450	351
287	452	350
288	454	348
289	455	347
290	457	345
291	458	344
292	460	342
293	461	340
294	463	339
295	465	337
296	466	336
297	468	334
298	470	333
299	471	331
300	473	330
301	474	328
302	476	326
303	477	325
304	479	323
305	480	322
306	482	320
307	484	319
308	485	317
309	487	316
310	489	314
311	490	312
312	492	311
313	493	309
314	495	308
315	497	306
316	498	305
317	500	303
318	501	302
319	503	300
320	504	298
321	506	297
322	508	295
323	509	294
324	511	292
325	512	291
326	514	289
327	515	287
328	517	286
329	519	284
330	520	283
331	522	281
332	523	279
333	525	278
334	527	276
335	528	275
336	530	273
337	531	272
338	533	270
339	545	274
340	546	272
341	548	271
342	550	269
343	551	267
344	553	266
345	554	264
346	556	263
