iter	Passed	Remaining
0	459	229084
1	816	203344
2	1156	191652
3	1456	180595
4	1766	174867
5	1939	159676
6	2168	152742
7	2476	152284
8	2795	152484
9	3094	151620
10	3405	151393
11	3710	150881
12	4019	150559
13	4342	150762
14	4655	150511
15	4942	149509
16	5253	149249
17	5564	149006
18	5886	149032
19	6195	148695
20	6524	148810
21	6806	147890
22	7089	147036
23	7365	146079
24	7647	145309
25	7922	144425
26	8219	143987
27	8493	143170
28	8771	142463
29	9049	141772
30	9319	140987
31	9602	140436
32	9879	139812
33	10155	139191
34	10423	138479
35	10691	137801
36	10958	137125
37	11240	136656
38	11504	135994
39	11769	135347
40	12057	134984
41	12326	134417
42	12596	133869
43	12867	133355
44	13179	133260
45	13450	132750
46	13730	132335
47	14002	131860
48	14261	131267
49	14511	130602
50	14763	129978
51	15013	129343
52	15274	128823
53	15526	128239
54	15785	127721
55	16047	127230
56	16321	126852
57	16591	126440
58	16845	125911
59	17091	125334
60	17337	124772
61	17572	124143
62	17821	123615
63	17952	122298
64	18164	121565
65	18408	121047
66	18655	120564
67	18892	120024
68	19129	119487
69	19372	119003
70	19625	118579
71	19859	118055
72	20094	117540
73	20336	117074
74	20572	116576
75	20818	116143
76	21063	115710
77	21309	115291
78	21550	114843
79	21802	114461
80	22057	114097
81	22306	113707
82	22547	113279
83	22812	112976
84	23069	112632
85	23312	112227
86	23553	111810
87	23799	111425
88	24042	111029
89	24288	110649
90	24532	110262
91	24787	109927
92	25028	109532
93	25273	109161
94	25518	108790
95	25764	108424
96	26021	108110
97	26262	107730
98	26500	107340
99	26740	106960
100	26984	106602
101	27223	106225
102	27470	105882
103	27723	105563
104	27970	105222
105	28214	104874
106	28458	104525
107	28699	104168
108	28950	103848
109	29194	103507
110	29442	103180
111	29699	102886
112	29940	102540
113	30186	102209
114	30439	101905
115	30701	101634
116	30962	101355
117	31231	101104
118	31493	100832
119	31752	100550
120	32012	100270
121	32273	99995
122	32539	99734
123	32802	99465
124	33069	99209
125	33316	98891
126	33569	98594
127	33828	98314
128	34087	98035
129	34350	97767
130	34618	97513
131	34876	97230
132	35130	96940
133	35387	96655
134	35638	96354
135	35889	96056
136	36141	95761
137	36383	95442
138	36628	95129
139	36869	94807
140	37109	94484
141	37350	94165
142	37593	93851
143	37840	93548
144	38079	93229
145	38323	92920
146	38571	92623
147	38807	92300
148	39042	91972
149	39282	91658
150	39530	91364
151	39765	91041
152	40000	90720
153	40247	90426
154	40486	90114
155	40725	89804
156	40960	89487
157	41202	89185
158	41454	88905
159	41693	88599
160	41932	88292
161	42166	87977
162	42398	87657
163	42640	87360
164	42874	87047
165	43106	86732
166	43336	86412
167	43562	86087
168	43787	85761
169	44021	85453
170	44253	85142
171	44482	84826
172	44708	84506
173	44938	84195
174	45173	83892
175	45401	83579
176	45653	83311
177	45896	83026
178	46128	82722
179	46363	82423
180	46606	82141
181	46870	81895
182	47109	81604
183	47353	81323
184	47614	81073
185	47860	80796
186	48105	80518
187	48351	80243
188	48593	79960
189	48844	79694
190	49094	79425
191	49340	79150
192	49598	78895
193	49839	78612
194	50091	78348
195	50340	78078
196	50585	77803
197	50852	77563
198	51103	77297
199	51354	77031
200	51610	76773
201	51863	76511
202	52115	76247
203	52341	75946
204	52573	75654
205	52818	75381
206	53063	75109
207	53310	74840
208	53549	74559
209	53799	74294
210	54039	74016
211	54284	73745
212	54527	73471
213	54761	73185
214	55000	72908
215	55237	72627
216	55470	72341
217	55701	72053
218	55942	71779
219	56216	71548
220	56478	71301
221	56731	71042
222	56980	70778
223	57236	70523
224	57495	70272
225	57755	70021
226	58003	69757
227	58266	69511
228	58534	69269
229	58799	69025
230	59065	68781
231	59325	68530
232	59597	68294
233	59856	68042
234	60115	67789
235	60382	67546
236	60638	67290
237	60891	67032
238	61141	66769
239	61391	66507
240	61631	66234
241	61881	65972
242	62111	65690
243	62348	65415
244	62598	65153
245	62845	64889
246	63091	64624
247	63348	64370
248	63604	64115
249	63862	63862
250	64118	63607
251	64379	63357
252	64635	63102
253	64887	62844
254	65131	62577
255	65381	62316
256	65619	62045
257	65871	61786
258	66121	61526
259	66368	61262
260	66607	60993
261	66854	60730
262	67120	60485
263	67371	60226
264	67624	59968
265	67866	59701
266	68113	59439
267	68368	59184
268	68616	58923
269	68862	58660
270	69104	58394
271	69352	58133
272	69605	57877
273	69853	57616
274	70103	57357
275	70351	57097
276	70598	56835
277	70836	56566
278	71074	56298
279	71323	56040
280	71565	55775
281	71824	55523
282	72073	55265
283	72332	55013
284	72588	54760
285	72852	54512
286	73106	54256
287	73351	53995
288	73604	53738
289	73845	53474
290	74090	53212
291	74359	52968
292	74613	52712
293	74869	52459
294	75117	52200
295	75363	51939
296	75612	51681
297	75859	51421
298	76114	51167
299	76388	50925
300	76646	50673
301	76893	50413
302	77159	50166
303	77415	49912
304	77669	49657
305	77939	49412
306	78176	49146
307	78431	48892
308	78689	48639
309	78942	48384
310	79188	48124
311	79445	47871
312	79689	47610
313	79932	47348
314	80171	47084
315	80436	46836
316	80739	46609
317	81005	46361
318	81262	46107
319	81545	45869
320	81818	45624
321	82083	45375
322	82336	45119
323	82579	44858
324	82832	44601
325	83094	44351
326	83355	44099
327	83601	43839
328	83875	43594
329	84134	43341
330	84388	43086
331	84640	42830
332	84886	42570
333	85137	42313
334	85391	42058
335	85667	41813
336	85917	41556
337	86157	41294
338	86403	41035
339	86655	40779
340	86896	40517
341	87140	40257
342	87388	40000
343	87620	39734
344	87864	39475
345	88099	39211
346	88343	38952
347	88578	38689
348	88834	38435
349	89095	38183
350	89342	37926
351	89589	37668
352	89851	37416
353	90097	37158
354	90336	36898
355	90583	36640
356	90821	36379
357	91061	36119
358	91319	35866
359	91588	35617
360	91854	35367
361	92103	35111
362	92354	34855
363	92600	34598
364	92846	34340
365	93092	34083
366	93360	33833
367	93618	33580
368	93895	33334
369	94147	33078
370	94401	32824
371	94655	32569
372	94905	32313
373	95159	32058
374	95418	31806
375	95673	31551
376	95904	31289
377	96159	31035
378	96398	30776
379	96648	30520
380	96888	30261
381	97127	30002
382	97366	29743
383	97603	29484
384	97849	29227
385	98094	28970
386	98338	28713
387	98590	28459
388	98839	28203
389	99087	27947
390	99326	27689
391	99561	27430
392	99799	27171
393	100043	26915
394	100297	26661
395	100549	26407
396	100798	26151
397	101050	25897
398	101288	25639
399	101531	25382
400	101768	25124
401	102006	24867
402	102247	24610
403	102494	24355
404	102742	24100
405	102994	23846
406	103238	23590
407	103481	23333
408	103735	23080
409	103987	22826
410	104235	22571
411	104486	22317
412	104740	22064
413	104991	21809
414	105246	21556
415	105494	21301
416	105764	21051
417	106050	20804
418	106315	20552
419	106567	20298
420	106831	20046
421	107105	19796
422	107380	19546
423	107646	19295
424	107912	19043
425	108174	18790
426	108443	18539
427	108706	18287
428	108967	18034
429	109234	17782
430	109498	17529
431	109756	17276
432	110020	17024
433	110285	16771
434	110543	16517
435	110804	16264
436	111059	16010
437	111308	15756
438	111562	15501
439	111826	15249
440	112085	14995
441	112331	14740
442	112571	14484
443	112818	14229
444	113076	13975
445	113309	13719
446	113557	13464
447	113791	13207
448	114029	12952
449	114272	12696
450	114517	12441
451	114760	12187
452	115006	11932
453	115248	11677
454	115494	11422
455	115744	11168
456	115993	10914
457	116235	10659
458	116481	10404
459	116740	10151
460	116970	9895
461	117212	9640
462	117453	9386
463	117705	9132
464	117944	8877
465	118191	8623
466	118473	8371
467	118726	8118
468	118974	7863
469	119238	7610
470	119493	7357
471	119755	7104
472	120008	6850
473	120257	6596
474	120496	6341
475	120747	6088
476	121033	5836
477	121276	5581
478	121523	5327
479	121770	5073
480	122024	4820
481	122272	4566
482	122543	4313
483	122801	4059
484	123055	3805
485	123307	3552
486	123554	3298
487	123802	3044
488	124053	2790
489	124299	2536
490	124576	2283
491	124826	2029
492	125077	1775
493	125322	1522
494	125567	1268
495	125808	1014
496	126070	760
497	126328	507
498	126563	253
499	126803	0
