iter	TotalF1	MultiClass
0	0.4190561181	1.088697948
1	0.4829129357	1.079201502
2	0.4585612775	1.071860423
3	0.4871580315	1.063913728
4	0.4996395769	1.056544825
5	0.4984810364	1.050879789
6	0.5024850838	1.04497736
7	0.5200958405	1.039113521
8	0.5218961387	1.032502007
9	0.5234042951	1.027373172
10	0.5253710096	1.021898865
11	0.5304257442	1.016808521
12	0.5318439704	1.011918332
13	0.532737138	1.008215116
14	0.5410358298	1.003818059
15	0.5453333401	1.000104957
16	0.5429453423	0.9963075967
17	0.5453734227	0.9931269643
18	0.5487362036	0.9902787436
19	0.5488704272	0.9870713358
20	0.5563194378	0.9825612314
21	0.5561820628	0.9790469768
22	0.5584614724	0.9762277674
23	0.5589058162	0.9735613703
24	0.5585775307	0.970724724
25	0.564052428	0.9686612348
26	0.5636976995	0.9664568269
27	0.5664134016	0.9644515906
28	0.565656921	0.9627557929
29	0.5650936882	0.960794088
30	0.566579908	0.9582916152
31	0.5676409545	0.9557177814
32	0.5667584053	0.9538742007
33	0.5654067169	0.952161729
34	0.5673740197	0.9500613321
35	0.5690332671	0.9485762272
36	0.569303397	0.9472757626
37	0.5731659233	0.9450870884
38	0.5736946169	0.9429351775
39	0.5732469401	0.9420897355
40	0.5749390195	0.9400464577
41	0.5744134325	0.9387836803
42	0.5745602684	0.9371708888
43	0.5750087297	0.9358496488
44	0.574579785	0.9343416857
45	0.5764808251	0.9329990914
46	0.5761037318	0.9315415917
47	0.57604803	0.9306618553
48	0.5757395893	0.9284272981
49	0.5774628106	0.9269538434
50	0.5760352619	0.9259264747
51	0.5773943475	0.9241931119
52	0.5770933878	0.9235771821
53	0.5772158375	0.9225605801
54	0.577352627	0.9216723288
55	0.5788019783	0.9202729492
56	0.5789046064	0.919909928
57	0.5801794642	0.9188350485
58	0.5813383472	0.9176569408
59	0.5813224732	0.9171064883
60	0.5816663135	0.9164895705
61	0.5832030192	0.9157726433
62	0.5818214402	0.9150000915
63	0.5826745339	0.9142537188
64	0.5815616938	0.913384607
65	0.5831724241	0.9128389294
66	0.583685666	0.9123211534
67	0.5858763672	0.9114593657
68	0.5863627856	0.9109340824
69	0.5862355946	0.9102987228
70	0.586900878	0.9091485801
71	0.5869288627	0.9087172007
72	0.5866648034	0.9076690115
73	0.5865604024	0.9070967811
74	0.5861165915	0.9067066663
75	0.5867242442	0.905993359
76	0.5872416016	0.9054838552
77	0.5879174989	0.9048628287
78	0.5890740291	0.9038766412
79	0.5889320382	0.9025638031
80	0.5888948573	0.9022922884
81	0.5900760749	0.9020318777
82	0.5895218052	0.9018246782
83	0.5900088342	0.9015783862
84	0.5899121882	0.9011183262
85	0.5895624326	0.901009762
86	0.5896240033	0.9006941463
87	0.5922962614	0.9001139365
88	0.591774973	0.8995846446
89	0.592679362	0.8990822033
90	0.5932263837	0.8987314104
91	0.5935071923	0.8984688106
92	0.5931858089	0.8979094034
93	0.5940232324	0.8974367131
94	0.5916811464	0.8962601571
95	0.5928280107	0.8960641709
96	0.5933360155	0.8951880694
