iter	Passed	Remaining
0	350	174968
1	677	168797
2	992	164349
3	1325	164362
4	1629	161317
5	1818	149706
6	2060	145129
7	2332	143438
8	2632	143618
9	2956	144887
10	3285	146047
11	3638	147976
12	3979	149068
13	4284	148741
14	4613	149169
15	4898	148164
16	5176	147078
17	5484	146875
18	5812	147146
19	6115	146760
20	6441	146934
21	6722	146071
22	6992	145012
23	7259	143984
24	7521	142902
25	7788	141992
26	8058	141169
27	8308	140061
28	8576	139293
29	8849	138645
30	9111	137842
31	9431	137940
32	9680	136988
33	9922	135999
34	10160	134991
35	10402	134077
36	10641	133163
37	10898	132507
38	11152	131828
39	11404	131147
40	11658	130516
41	11883	129587
42	12123	128847
43	12383	128339
44	12643	127836
45	12905	127372
46	13151	126756
47	13402	126209
48	13655	125690
49	13909	125183
50	14170	124751
51	14426	124287
52	14706	124033
53	15000	123894
54	15270	123554
55	15543	123236
56	15821	122960
57	16079	122538
58	16339	122131
59	16609	121801
60	16878	121470
61	17140	121085
62	17388	120615
63	17541	119499
64	17781	119001
65	18038	118618
66	18288	118192
67	18523	117678
68	18798	117425
69	19050	117021
70	19294	116583
71	19531	116105
72	19782	115712
73	20020	115254
74	20267	114847
75	20533	114554
76	20791	114216
77	21042	113847
78	21306	113545
79	21552	113148
80	21793	112735
81	22044	112373
82	22300	112041
83	22561	111734
84	22810	111369
85	23045	110940
86	23291	110567
87	23540	110214
88	23801	109915
89	24053	109574
90	24289	109170
91	24554	108892
92	24791	108497
93	25029	108105
94	25263	107703
95	25496	107299
96	25742	106952
97	26021	106741
98	26266	106392
99	26509	106037
100	26748	105668
101	26988	105308
102	27229	104954
103	27471	104602
104	27714	104260
105	27970	103966
106	28241	103727
107	28523	103530
108	28846	103476
109	29145	103335
110	29445	103193
111	29788	103196
112	30083	103029
113	30359	102795
114	30641	102583
115	30947	102446
116	31212	102174
117	31600	102299
118	31856	101994
119	32116	101703
120	32415	101532
121	32743	101452
122	33008	101171
123	33285	100929
124	33578	100735
125	33862	100512
126	34135	100255
127	34390	99947
128	34651	99656
129	34919	99386
130	35177	99088
131	35436	98791
132	35702	98517
133	35982	98280
134	36264	98048
135	36542	97805
136	36810	97534
137	37067	97235
138	37322	96931
139	37569	96606
140	37824	96304
141	38067	95974
142	38320	95666
143	38568	95350
144	38836	95081
145	39111	94832
146	39362	94523
147	39645	94291
148	39930	94065
149	40194	93786
150	40462	93518
151	40714	93215
152	40973	92926
153	41213	92597
154	41459	92281
155	41745	92053
156	42000	91758
157	42274	91505
158	42525	91202
159	42778	90904
160	43017	90578
161	43259	90257
162	43499	89933
163	43748	89631
164	43996	89325
165	44232	88997
166	44476	88685
167	44727	88390
168	44965	88069
169	45231	87801
170	45487	87516
171	45731	87208
172	45964	86881
173	46205	86568
174	46458	86279
175	46706	85983
176	46955	85687
177	47203	85391
178	47444	85082
179	47684	84772
180	47916	84448
181	48164	84156
182	48402	83844
183	48651	83553
184	48889	83244
185	49152	82977
186	49403	82690
187	49641	82384
188	49878	82075
189	50117	81770
190	50350	81457
191	50588	81152
192	50844	80877
193	51083	80574
194	51320	80270
195	51569	79985
196	51812	79691
197	52064	79411
198	52317	79133
199	52570	78856
200	52823	78578
201	53063	78281
202	53314	78001
203	53550	77700
204	53781	77392
205	54029	77109
206	54267	76813
207	54518	76535
208	54762	76248
209	55022	75983
210	55298	75741
211	55540	75450
212	55785	75165
213	56026	74877
214	56271	74591
215	56529	74325
216	56775	74043
217	57029	73772
218	57271	73485
219	57524	73213
220	57771	72932
221	58011	72645
222	58253	72359
223	58488	72066
224	58734	71786
225	58977	71504
226	59215	71215
227	59462	70938
228	59708	70659
229	59967	70396
230	60230	70138
231	60476	69860
232	60734	69597
233	60983	69322
234	61229	69045
235	61477	68771
236	61714	68484
237	61958	68206
238	62201	67927
239	62459	67664
240	62711	67394
241	62957	67119
242	63199	66840
243	63444	66564
244	63694	66293
245	63934	66013
246	64174	65733
247	64417	65456
248	64663	65183
249	64918	64918
250	65167	64648
251	65422	64384
252	65674	64116
253	65922	63845
254	66165	63571
255	66411	63298
256	66651	63020
257	66905	62756
258	67161	62493
259	67410	62225
260	67651	61948
261	67905	61685
262	68143	61407
263	68398	61144
264	68653	60881
265	68896	60608
266	69145	60340
267	69402	60079
268	69640	59802
269	69877	59525
270	70123	59255
271	70385	58999
272	70655	58750
273	70899	58479
274	71144	58208
275	71385	57936
276	71621	57659
277	71864	57387
278	72103	57114
279	72369	56862
280	72616	56594
281	72863	56326
282	73105	56056
283	73356	55791
284	73604	55526
285	73858	55264
286	74119	55008
287	74367	54742
288	74613	54475
289	74852	54203
290	75096	53935
291	75345	53670
292	75582	53397
293	75833	53135
294	76079	52868
295	76312	52593
296	76556	52326
297	76791	52053
298	77033	51784
299	77268	51512
300	77508	51243
301	77752	50977
302	77999	50712
303	78235	50441
304	78480	50175
305	78768	49938
306	79013	49672
307	79295	49430
308	79549	49171
309	79806	48913
310	80081	48666
311	80321	48399
312	80565	48133
313	80834	47882
314	81115	47639
315	81368	47379
316	81617	47116
317	81891	46868
318	82173	46624
319	82429	46366
320	82712	46123
321	83003	45883
322	83274	45633
323	83549	45384
324	83832	45140
325	84178	44929
326	84475	44692
327	84742	44437
328	85018	44188
329	85301	43943
330	85581	43695
331	85860	43447
332	86104	43181
333	86374	42928
334	86649	42678
335	86901	42415
336	87170	42162
337	87434	41906
338	87706	41653
339	87998	41411
340	88273	41159
341	88557	40912
342	88843	40665
343	89115	40412
344	89401	40165
345	89679	39915
346	89945	39658
347	90233	39412
348	90522	39166
349	90798	38913
350	91070	38659
351	91330	38400
352	91585	38138
353	91853	37883
354	92101	37619
355	92362	37359
356	92615	37097
357	92869	36836
358	93160	36589
359	93453	36342
360	93725	36088
361	93975	35824
362	94219	35559
363	94480	35300
364	94744	35042
365	95012	34785
366	95275	34527
367	95547	34272
368	95816	34016
369	96068	33753
370	96315	33489
371	96572	33229
372	96834	32970
373	97096	32711
374	97355	32451
375	97611	32191
376	97857	31927
377	98111	31665
378	98369	31405
379	98642	31150
380	98903	30891
381	99153	30628
382	99413	30369
383	99676	30110
384	99929	29849
385	100202	29593
386	100469	29336
387	100732	29077
388	100985	28816
389	101248	28557
390	101508	28297
391	101755	28034
392	102001	27771
393	102264	27512
394	102551	27260
395	102817	27002
396	103073	26742
397	103323	26479
398	103569	26216
399	103820	25955
400	104064	25691
401	104305	25427
402	104573	25170
403	104823	24908
404	105073	24646
405	105320	24384
406	105571	24123
407	105853	23868
408	106112	23609
409	106360	23347
410	106613	23086
411	106874	22827
412	107124	22566
413	107371	22304
414	107646	22047
415	107917	21790
416	108172	21530
417	108433	21271
418	108705	21014
419	108963	20754
420	109235	20497
421	109498	20239
422	109760	19980
423	110013	19719
424	110267	19458
425	110521	19198
426	110803	18942
427	111058	18682
428	111321	18423
429	111590	18165
430	111866	17909
431	112134	17650
432	112382	17389
433	112663	17133
434	112911	16871
435	113169	16612
436	113447	16355
437	113708	16095
438	113969	15836
439	114262	15581
440	114524	15321
441	114786	15062
442	115038	14801
443	115278	14539
444	115547	14281
445	115790	14019
446	116050	13759
447	116297	13498
448	116563	13239
449	116832	12981
450	117097	12722
451	117349	12461
452	117601	12201
453	117877	11943
454	118146	11684
455	118421	11426
456	118681	11166
457	118916	10905
458	119167	10644
459	119450	10387
460	119703	10126
461	119982	9868
462	120261	9610
463	120565	9354
464	120830	9094
465	121101	8835
466	121371	8576
467	121651	8318
468	121922	8058
469	122190	7799
470	122444	7539
471	122715	7279
472	122978	7019
473	123240	6760
474	123483	6499
475	123752	6239
476	124018	5979
477	124267	5719
478	124523	5459
479	124774	5198
480	125038	4939
481	125289	4678
482	125553	4419
483	125801	4158
484	126065	3898
485	126328	3639
486	126566	3378
487	126811	3118
488	127063	2858
489	127313	2598
490	127575	2338
491	127841	2078
492	128107	1818
493	128379	1559
494	128626	1299
495	128884	1039
496	129142	779
497	129388	519
498	129627	259
499	129872	0
