feature,importance
DIRECTMAIL__slope,1745.4
N_CLMOTHERS__slope,1583.0
UC_NRX__slope,1407.8
UC_TRX__slope,1226.4
UC_TRX_R4_16SUM__std,1182.6
ORAL_TRX__slope,1139.0
UC_NRX__max,1123.6
UC_TRX__recent_vs_early,1106.0
UC_TRX__early4_mean,1043.0
ORAL_NRX__slope,953.4
UC_TRX__max,945.4
DETAILS__std,901.2
UC_NRX__std,893.0
UC_NRX__recent_vs_early,889.8
UC_TRX_R4_16SUM__max,889.0
UC_TRX_R4_16SUM__min,885.0
N_CLMOTHERS__std,844.8
UC_TRX_R4_16SUM__mean,828.4
UC_TRX__last,823.0
DETAILS__mean,789.4
UC_TRX__std,752.0
UC_TRX__recent4_mean,732.8
IL23_NBRX_R4_29SUM__std,732.8
IL23_TRX__slope,732.6
UC_NRX__recent4_mean,724.0
DIRECTMAIL__mean,722.8
UC_TRX_R4_16SUM__recent_vs_early,714.2
IL23_NRX__slope,705.8
UC_TRX_R4_16SUM__delta,704.8
ORAL_NBRX_R4_29SUM__std,701.0
UC_NRX__mean,700.6
UC_TRX_R4_16SUM__first,693.6
N_CLMOTHERS_NEW__std,692.6
ORAL_TRX__max,684.4
UC_NRX__early4_mean,659.6
N_CLMOTHERS__mean,646.2
N_CLMOTHERS__recent_vs_early,640.8
IL23_NBRX_R4_29SUM__mean,637.2
ORAL_NBRX_R4_29SUM__mean,627.8
UC_TRX_R4_16SUM__last,626.4
N_CLMOTHERS_NEW_TO_BRAND__std,622.4
ORAL_NBRX_R4_29SUM__nonzero_share,613.6
UC_TRX__nonzero_share,595.0
ORAL_TRX__mean,594.2
UC_TRX_R4_16SUM__early4_mean,592.8
N_CLMOTHERS__nonzero_share,592.4
ORAL_TRX__std,587.0
IL23_NBRX_R4_29SUM__nonzero_share,575.4
DETAILS__nonzero_share,572.0
UC_TRX_R4_16SUM__recent4_mean,557.2
UC_TRX__mean,549.0
ORAL_TRX__recent_vs_early,545.4
IL23_TRX__mean,530.2
IL23_TRX__std,525.8
ORAL_NRX__max,489.6
UC_NRX__nonzero_share,479.0
ORAL_TRX__nonzero_share,476.2
N_CLMBRAND3__std,463.6
N_CLMOTHERS_NEW__nonzero_share,452.2
ORAL_NRX__std,449.6
RTE__mean,437.2
ORAL_NRX__mean,430.8
N_CLMOTHERS_NEW__mean,428.2
N_CLMBRAND3__nonzero_share,411.4
N_CLMOTHERS__early4_mean,406.2
ORAL_TRX__recent4_mean,404.4
IL23_NBRX_R4_29SUM__recent_vs_early,401.6
SAMPLES__slope,399.8
ORAL_TRX__early4_mean,391.2
DIRECTMAIL__std,387.2
ORAL_NBRX_R4_29SUM__recent_vs_early,384.0
IL23_NRX__std,382.6
UC_TRX_R4_16SUM__nonzero_share,381.2
IL23_TRX__nonzero_share,378.8
UC_NRX__last,377.6
N_CLMBRAND3__mean,373.8
N_CLMOTHERS_NEW_TO_BRAND__mean,370.2
RTE__std,367.2
N_CLMOTHERS_NEW_TO_BRAND__nonzero_share,363.2
N_CLMBRAND3__early4_mean,335.2
IL23_TRX__max,326.6
IL23_NRX__mean,310.6
ORAL_NRX__recent_vs_early,310.0
N_CLMBRAND4__mean,282.0
N_CLMBRAND3_NEW__std,276.8
DIRECTMAIL__nonzero_share,276.4
IL23_TRX__recent_vs_early,262.6
N_CLMOTHERS__recent4_mean,260.6
_1960_1980___mean,260.0
N_CLMBRAND4__std,257.2
N_CLMOTHERS__first,256.4
IL23_TRX__recent4_mean,244.0
IL23_NRX__max,240.2
ORAL_TRX__last,233.2
DETAILS__recent_vs_early,230.0
RTE__nonzero_share,227.0
N_CLMOTHERS_NEW__recent_vs_early,223.8
BRAND2_T_GIDX__min,223.6
AGE_RANGE_GROUP_UNKNOWN,220.6
IL23_TRX__last,215.6
DETAILS__recent4_mean,215.2
IL23_NBRX_R4_29SUM__recent4_mean,210.0
ORAL_NRX__recent4_mean,208.8
N_CLMBRAND3__recent_vs_early,205.8
N_CLMBRAND3_NEW__mean,188.8
ORAL_NRX__nonzero_share,186.2
DIRECTMAIL__recent_vs_early,186.0
BRAND2_T_GIDX__mean,184.8
N_CLMBRAND3NEW_TO_BRAND__std,182.4
N_CLMOTHERS__max,176.4
STS_OTHER_STS__mean,172.4
IL23_NBRX_R4_29SUM__delta,165.6
N_CLMOTHERS_NEW_TO_BRAND__recent_vs_early,164.0
IL23_NRX__recent_vs_early,163.6
ORAL_NBRX_R4_29SUM__recent4_mean,162.4
STATE_4__mean,160.0
N_CLMBRAND3NEW_TO_BRAND__mean,154.4
IL23_NRX__nonzero_share,153.8
_1980_2000___mean,143.0
N_CLMOTHERS_NEW__early4_mean,142.0
ORAL_NRX__early4_mean,138.4
DETAILS__early4_mean,138.4
ORAL_NBRX_R4_29SUM__early4_mean,136.6
N_CLMBRAND4__nonzero_share,136.0
STATE_1__mean,134.0
N_CLMOTHERS_NEW__max,129.0
UC_TRX__delta,128.6
BRAND2_T_GIDX__recent_vs_early,127.2
N_CLMBRAND3_NEW__nonzero_share,125.6
IL23_NBRX_R4_29SUM__early4_mean,124.2
BRAND2_T_GIDX__std,122.8
STATE_8__mean,119.2
IL23_TRX__early4_mean,114.8
IL23_NRX__recent4_mean,114.4
IL23_NBRX__std,114.2
SPK__mean,113.0
SAMPLES__mean,110.0
ORAL_NBRX__mean,109.8
ORAL_NBRX__recent_vs_early,109.6
BRAND2_T_GIDX__max,109.4
N_CLMOTHERS_NEW_TO_BRAND__early4_mean,109.4
ORAL_NBRX_R4_29SUM__delta,109.2
N_CLMBRAND4_NEW__mean,108.6
ORAL_NRX__last,106.0
ORAL_NBRX__std,105.0
N_CLMBRAND3NEW_TO_BRAND__nonzero_share,100.2
N_CLMOTHERS_NEW__recent4_mean,99.2
DIRECTMAIL__recent4_mean,96.6
STATE_3__mean,94.4
N_CLMBRAND3__recent4_mean,93.6
BRAND2_T_GIDX__recent4_mean,93.2
RTE__recent_vs_early,92.4
RTE__max,89.8
IL23_NBRX_R4_29SUM__max,88.6
IL23_NBRX__mean,84.0
N_CLMBRAND4__recent_vs_early,83.0
N_CLMOTHERS_NEW_TO_BRAND__max,82.8
N_CLMOTHERS_NEW__first,82.0
BRAND2_T_GIDX__delta,79.6
BRAND2_TRX__std,79.6
BRAND2_T_GIDX__nonzero_share,77.6
STATE_6__mean,76.8
BRAND1_T_GIDX__std,75.8
_1940_1960___mean,75.6
BRAND2_NRX__mean,74.8
BRAND1_T_GIDX__recent_vs_early,72.4
RTE__early4_mean,72.4
BRAND2_TRX__mean,71.2
IL23_NBRX__recent_vs_early,71.0
IL23_NBRX__recent4_mean,70.0
DETAILS__max,68.8
STATE_5__mean,66.2
COPAY__slope,65.6
IL23_NBRX_R4_29SUM__first,65.4
ORAL_NBRX_R4_29SUM__first,64.6
DIRECTMAIL__early4_mean,64.4
BRAND2_NRX__std,63.4
STATE_7__mean,62.8
ORAL_NBRX_R4_29SUM__max,62.0
DETAILS__delta,60.6
ORAL_NBRX__early4_mean,60.4
IL23_NBRX_R4_29SUM__last,60.0
IL23_NRX__last,59.8
BRAND2_T_GIDX__early4_mean,59.8
N_CLMBRAND3__max,58.6
BRAND1_T_GIDX__min,57.4
N_CLMBRAND2__std,57.4
BRAND1_T_GIDX__mean,57.2
STATE_2__mean,56.6
UC_NRX__delta,56.2
ORAL_NBRX_R4_29SUM__last,55.2
ORAL_NBRX__nonzero_share,54.8
N_CLMBRAND4_NEW__std,54.6
N_CLMBRAND4_NEW_TO_BRAND__mean,54.2
N_CLMOTHERS__delta,54.0
N_CLMBRAND2__early4_mean,53.4
BRAND2_TRX__recent_vs_early,53.0
IL23_NBRX__nonzero_share,52.8
DIRECTMAIL__max,52.8
DETAILS__last,52.2
N_CLMOTHERS_NEW_TO_BRAND__recent4_mean,51.6
N_CLMBRAND2__mean,50.2
N_CLMOTHERS_NEW_TO_BRAND__first,49.4
N_CLMBRAND3_NEW__recent_vs_early,49.2
BRAND2_NRX__max,47.4
BRAND1_T_GIDX__nonzero_share,46.2
BRAND2_NTB_GIDX__mean,45.8
N_CLMBRAND2__nonzero_share,45.8
N_CLMBRAND3_NEW__early4_mean,45.4
BRAND1_NTB_GIDX__mean,45.0
BRAND2_TRX__max,42.2
BRAND1_NTB_GIDX__recent_vs_early,42.0
RTE__recent4_mean,42.0
BRAND2_NTB_GIDX__recent_vs_early,41.6
N_CLMBRAND4_NEW__nonzero_share,41.4
BRAND1_T_GIDX__recent4_mean,39.6
BRAND1_NRX__mean,39.6
IL23_TRX__delta,38.4
IL23_NRX__early4_mean,37.6
BRAND2_T_GIDX__last,36.8
N_CLMBRAND3NEW_TO_BRAND__recent_vs_early,36.4
ORAL_TRX__delta,36.2
_1960_1980___min,35.8
BRAND1_TRX__std,35.8
N_CLMBRAND4__early4_mean,34.8
BRAND1_NTB_GIDX__nonzero_share,34.4
COPAY__mean,33.2
DIRECTMAIL__last,32.8
SPEC_GE__mean,32.6
BRAND1_NTB_GIDX__std,32.0
N_CLMBRAND3_NEW__max,30.6
BRAND1_T_GIDX__max,30.6
BRAND2_NTB_GIDX__std,28.6
SAMPLES__early4_mean,28.2
STS_OTHER_STS__min,27.6
N_CLMBRAND3__first,27.4
BRAND2_TRX__nonzero_share,27.2
BRAND1_NTB_GIDX__recent4_mean,26.4
N_CLMBRAND2_NEW__mean,25.8
BRAND1_T_GIDX__last,25.8
BRAND2_T_GIDX__first,25.6
N_CLMBRAND3NEW_TO_BRAND__max,25.4
N_CLMBRAND1_NEW__mean,24.4
N_CLMBRAND2__recent4_mean,24.0
N_CLMBRAND3NEW_TO_BRAND__early4_mean,24.0
STATE_4__min,24.0
BRAND1_NRX__std,23.8
COPAY__std,22.8
ORAL_NBRX__recent4_mean,22.6
SAMPLES__std,22.4
COPAY__nonzero_share,22.4
STATE_8__min,22.0
BRAND1_T_GIDX__delta,21.4
N_CLMBRAND1__recent4_mean,21.4
_1980_2000___min,21.4
N_CLMBRAND1__std,20.4
N_CLMBRAND1__mean,20.4
BRAND2_NTB_GIDX__nonzero_share,20.0
BRAND1_NTB_GIDX__delta,19.4
SPK__std,19.2
N_CLMBRAND2__recent_vs_early,19.0
BRAND2_NRX__nonzero_share,18.8
STATE_1__min,18.4
IL23_NBRX__max,18.4
BRAND1_TRX__mean,18.4
DIRECTMAIL__delta,18.2
N_CLMOTHERS_NEW__delta,17.6
COPAY__recent4_mean,17.2
BRAND1_NTB_GIDX__last,17.0
IL23_NBRX__last,16.8
SAMPLES__recent_vs_early,16.0
STATE_3__min,15.8
DETAILS__first,15.4
N_CLMBRAND4__max,14.8
COPAY__last,14.4
IL23_NBRX__delta,14.0
STATE_5__min,13.8
N_CLMBRAND4__first,13.4
_1940_1960___min,13.4
BRAND1_TRX__last,13.4
N_CLMBRAND4_NEW__early4_mean,13.2
N_CLMBRAND4_NEW__recent_vs_early,12.8
IL23_NBRX__early4_mean,12.6
ORAL_NBRX__max,12.6
N_CLMBRAND4_NEW_TO_BRAND__nonzero_share,12.4
STATE_6__min,12.2
ORAL_NRX__delta,12.0
N_CLMBRAND2_NEW__std,11.6
N_CLMBRAND3_NEW__recent4_mean,10.8
N_CLMBRAND4_NEW_TO_BRAND__std,10.8
N_CLMOTHERS_NEW_TO_BRAND__delta,10.8
BRAND2_TRX__early4_mean,10.6
IL23_NRX__delta,10.4
ORAL_NBRX__delta,10.0
BRAND2_NRX__recent4_mean,10.0
STATE_7__min,9.6
BRAND1_NBRX__recent4_mean,9.2
N_CLMBRAND2_NEW__recent_vs_early,9.2
STATE_2__min,9.2
N_CLMBRAND2_NEW_TO_BRAND__mean,8.8
N_CLMBRAND1__nonzero_share,8.8
BRAND2_TRX__recent4_mean,8.6
N_CLMBRAND4_NEW__max,7.8
SAMPLES__nonzero_share,7.8
BRAND2_NTB_GIDX__delta,7.8
BRAND2_NRX__recent_vs_early,7.4
BRAND1_TRX__max,7.2
N_CLMBRAND2_NEW__nonzero_share,7.2
N_CLMBRAND1_NEW_TO_BRAND__mean,7.0
N_CLMBRAND4__recent4_mean,6.8
ORAL_NBRX__first,6.4
BRAND1_NTB_GIDX__min,6.2
BRAND2_NTB_GIDX__early4_mean,6.2
BRAND1_TRX__nonzero_share,6.0
N_CLMBRAND3NEW_TO_BRAND__recent4_mean,6.0
N_CLMBRAND4__delta,5.8
BRAND1_TRX__recent4_mean,5.4
_1960_1980___max,5.4
BRAND1_T_GIDX__early4_mean,5.2
SPK__nonzero_share,5.2
ORAL_NBRX__last,5.0
STATE_4__max,5.0
N_CLMBRAND4_NEW__recent4_mean,5.0
BRAND2_NTB_GIDX__min,4.8
BRAND1_NRX__recent4_mean,4.6
N_CLMBRAND3__delta,4.6
_1980_2000___max,4.4
COPAY__max,4.2
SAMPLES__max,4.2
BRAND1_NRX__max,4.0
SPK__max,4.0
BRAND2_NBRX__mean,4.0
SPEC_GE__min,4.0
N_CLMBRAND2__max,3.8
DIRECTMAIL__first,3.8
SAMPLES__delta,3.8
N_CLMBRAND1_NEW__std,3.6
N_CLMBRAND1__recent_vs_early,3.4
IL23_NBRX_R4_29SUM__min,3.2
STS_OTHER_STS__max,3.2
SAMPLES__recent4_mean,2.8
_1940_1960___max,2.6
COPAY__recent_vs_early,2.6
STATE_1__max,2.6
BRAND2_NRX__last,2.6
IL23_NBRX__first,2.6
N_CLMBRAND4_NEW_TO_BRAND__recent_vs_early,2.6
SAMPLES__last,2.4
BRAND1_NRX__nonzero_share,2.4
BRAND1_NBRX__mean,2.4
BRAND2_NTB_GIDX__last,2.2
SPEC_GE__max,2.2
SPK__recent4_mean,2.0
BRAND1_T_GIDX__first,2.0
BRAND2_NTB_GIDX__recent4_mean,2.0
STATE_7__max,1.8
RTE__first,1.8
BRAND2_NTB_GIDX__max,1.8
N_CLMBRAND2__delta,1.8
ORAL_NBRX_R4_29SUM__min,1.6
COPAY__delta,1.6
N_CLMBRAND2_NEW_TO_BRAND__std,1.6
BRAND1_TRX__recent_vs_early,1.6
SAMPLES__first,1.6
STATE_6__max,1.6
N_CLMBRAND1_NEW_TO_BRAND__std,1.6
RTE__delta,1.6
_1980_2000___first,1.2
STATE_8__max,1.2
BRAND1_NBRX__recent_vs_early,1.2
STATE_5__max,1.2
BRAND1_TRX__delta,1.2
N_CLMBRAND3NEW_TO_BRAND__first,1.2
N_CLMBRAND3_NEW__delta,1.2
N_CLMBRAND4_NEW_TO_BRAND__max,1.2
BRAND2_NRX__early4_mean,1.2
BRAND2_NRX__delta,1.0
_1960_1980___first,1.0
SPEC_IM__mean,1.0
STATE_3__max,1.0
BRAND2_TRX__last,1.0
N_CLMBRAND2_NEW__early4_mean,1.0
N_CLMBRAND4_NEW_TO_BRAND__early4_mean,1.0
BRAND2_NBRX__nonzero_share,1.0
N_CLMBRAND2_NEW__max,0.8
STATE_8__first,0.8
N_CLMBRAND3_NEW__first,0.8
RTE__last,0.8
STATE_2__max,0.8
N_CLMBRAND2__first,0.8
N_CLMBRAND3NEW_TO_BRAND__delta,0.8
STATE_1__first,0.6
BRAND2_NBRX__std,0.6
STATE_6__first,0.6
N_CLMBRAND1__max,0.6
BRAND1_NRX__recent_vs_early,0.6
N_CLMBRAND4_NEW__delta,0.4
N_CLMBRAND2_NEW__recent4_mean,0.4
BRAND1_NBRX__std,0.4
SPEC_IM__min,0.4
N_CLMBRAND2_NEW_TO_BRAND__nonzero_share,0.4
N_CLMBRAND1_NEW_TO_BRAND__nonzero_share,0.4
SPK__last,0.4
SPK__recent_vs_early,0.4
BRAND2_NBRX__recent_vs_early,0.4
STATE_1__last,0.4
BRAND2_NBRX__max,0.4
STATE_3__first,0.4
N_CLMBRAND1_NEW__max,0.4
_1960_1980___last,0.2
STATE_4__first,0.2
STATE_6__last,0.2
N_CLMBRAND1_NEW__nonzero_share,0.2
BRAND1_NTB_GIDX__max,0.2
N_CLMBRAND2_NEW_TO_BRAND__max,0.2
N_CLMBRAND1_NEW_TO_BRAND__max,0.2
BRAND2_TRX__delta,0.2
BRAND1_NBRX__max,0.2
STS_OTHER_STS__first,0.2
STS_OTHER_STS__last,0.2
STATE_5__first,0.2
_1980_2000___last,0.2
_1960_1980___recent4_mean,0.0
N_CLMBRAND1_NEW__delta,0.0
N_CLMBRAND1_NEW__early4_mean,0.0
_2000_2020___nonzero_share,0.0
N_CLMBRAND1_NEW__first,0.0
STATE_8__last,0.0
_2000_2020___recent4_mean,0.0
_2000_2020___recent_vs_early,0.0
_2000_2020___min,0.0
_2000_2020___std,0.0
_2020_2030___delta,0.0
STATE_8__early4_mean,0.0
_2020_2030___early4_mean,0.0
STATE_8__delta,0.0
STATE_7__std,0.0
STATE_8__nonzero_share,0.0
STATE_8__recent4_mean,0.0
STATE_7__recent4_mean,0.0
_2000_2020___mean,0.0
STATE_8__recent_vs_early,0.0
STATE_8__std,0.0
STATE_GROUP_OTHER_STATE,0.0
STATE_GROUP_STATE_1,0.0
STATE_GROUP_STATE_2,0.0
STATE_GROUP_STATE_3,0.0
STATE_GROUP_STATE_4,0.0
STATE_GROUP_STATE_5,0.0
STATE_GROUP_STATE_6,0.0
STATE_GROUP_STATE_7,0.0
STATE_GROUP_STATE_8,0.0
STS_OTHER_STS__delta,0.0
STS_OTHER_STS__early4_mean,0.0
STATE_7__recent_vs_early,0.0
STATE_7__nonzero_share,0.0
_2000_2020___last,0.0
N_CLMBRAND1_NEW__recent_vs_early,0.0
STATE_5__last,0.0
N_CLMBRAND1__first,0.0
N_CLMBRAND1__early4_mean,0.0
N_CLMBRAND1__delta,0.0
_2020_2030___std,0.0
STATE_5__nonzero_share,0.0
STATE_5__recent4_mean,0.0
_2020_2030___recent_vs_early,0.0
STATE_5__recent_vs_early,0.0
STATE_5__std,0.0
STATE_6__delta,0.0
STATE_6__early4_mean,0.0
_2020_2030___recent4_mean,0.0
_2020_2030___nonzero_share,0.0
N_CLMBRAND1_NEW__recent4_mean,0.0
N_CLMBRAND1_NEW__last,0.0
_2020_2030___min,0.0
_2020_2030___mean,0.0
_2020_2030___max,0.0
STATE_6__nonzero_share,0.0
STATE_6__recent4_mean,0.0
STATE_6__recent_vs_early,0.0
STATE_6__std,0.0
STATE_7__delta,0.0
STATE_7__early4_mean,0.0
STATE_7__first,0.0
STATE_7__last,0.0
_2020_2030___last,0.0
N_CLMBRAND1_NEW__min,0.0
_2020_2030___first,0.0
_2000_2020___max,0.0
N_CLMBRAND1_NEW_TO_BRAND__recent_vs_early,0.0
_1960_1980___nonzero_share,0.0
DIRECTMAIL__min,0.0
IL23_NBRX__min,0.0
_1980_2000___nonzero_share,0.0
UC_TRX__min,0.0
BRAND1_NBRX__last,0.0
BRAND1_NBRX__first,0.0
BRAND1_NBRX__early4_mean,0.0
BRAND1_NBRX__delta,0.0
AGE_RANGE_GROUP__1980_2000_,0.0
_1940_1960___delta,0.0
_1940_1960___early4_mean,0.0
_1940_1960___first,0.0
_1940_1960___last,0.0
BRAND2_TRX__min,0.0
COPAY__early4_mean,0.0
BRAND2_TRX__first,0.0
UC_TRX__first,0.0
_1940_1960___nonzero_share,0.0
_1940_1960___recent4_mean,0.0
_1940_1960___recent_vs_early,0.0
_1940_1960___std,0.0
_1960_1980___delta,0.0
