column,negative_count,minimum_value
ORAL_NRX,1,-0.0003000000142492354
UC_TRX,0,0.0
ORAL_TRX,0,0.0
IL23_TRX,0,0.0
BRAND1_TRX,0,0.0
BRAND2_TRX,0,0.0
UC_NRX,0,0.0
IL23_NRX,0,0.0
BRAND1_NRX,0,0.0
BRAND2_NRX,0,0.0
BRAND1_NBRX,0,0.0
BRAND2_NBRX,0,0.0
ORAL_NBRX,0,0.0
IL23_NBRX,0,0.0
N_CLMBRAND3,0,0.0
N_CLMBRAND1,0,0.0
N_CLMBRAND4,0,0.0
N_CLMBRAND2,0,0.0
N_CLMOTHERS,0,0.0
N_CLMBRAND3_NEW,0,0.0
N_CLMBRAND1_NEW,0,0.0
N_CLMBRAND4_NEW,0,0.0
N_CLMBRAND2_NEW,0,0.0
N_CLMOTHERS_NEW,0,0.0
N_CLMBRAND3NEW_TO_BRAND,0,0.0
N_CLMBRAND1_NEW_TO_BRAND,0,0.0
N_CLMBRAND4_NEW_TO_BRAND,0,0.0
N_CLMBRAND2_NEW_TO_BRAND,0,0.0
N_CLMOTHERS_NEW_TO_BRAND,0,0.0
RTE,0,0.0
SAMPLES,0,0.0
COPAY,0,0.0
DIRECTMAIL,0,0.0
SPK,0,0.0
DETAILS,0,0.0
UC_TRX_R4_16SUM,0,0.0
ORAL_NBRX_R4_29SUM,0,0.0
IL23_NBRX_R4_29SUM,0,0.0
