iter	Passed	Remaining
0	0	250
1	1	239
2	2	231
3	3	227
4	3	227
5	4	224
6	5	230
7	6	227
8	7	229
9	7	228
10	8	228
11	9	226
12	10	224
13	10	222
14	11	221
15	12	224
16	13	223
17	14	222
18	14	221
19	15	220
20	16	221
21	17	220
22	18	219
23	19	219
24	19	218
25	20	217
26	21	218
27	22	216
28	23	215
29	23	215
30	24	214
31	25	212
32	26	211
33	26	210
34	27	210
35	28	209
36	29	208
37	30	207
38	30	206
39	31	205
40	32	205
41	33	204
42	33	203
43	34	202
44	35	200
45	36	199
46	36	198
47	37	197
48	38	196
49	39	195
50	39	194
51	40	193
52	41	192
53	42	191
54	42	190
55	43	190
56	44	190
57	45	190
58	46	188
59	46	187
60	47	186
61	48	186
62	49	185
63	49	184
64	50	183
65	51	182
66	52	181
67	53	180
68	53	179
69	54	178
70	55	178
71	55	177
72	56	176
73	57	175
74	58	174
75	59	174
76	59	173
77	60	172
78	61	171
79	62	171
80	63	170
81	63	169
82	64	169
83	65	168
84	66	167
85	66	166
86	67	165
87	68	165
88	69	164
89	70	163
90	71	163
91	71	162
92	72	161
93	73	160
94	74	159
95	74	159
96	75	158
97	76	157
98	77	157
99	78	156
100	78	155
101	79	154
102	80	153
103	81	153
104	82	152
105	83	152
106	83	151
107	84	150
108	85	149
109	86	148
110	86	148
111	87	147
112	88	146
113	89	145
114	89	144
115	90	143
116	91	142
117	92	142
118	92	141
119	93	140
120	94	139
121	95	138
122	95	137
123	96	137
124	97	136
125	98	135
126	98	134
127	99	134
128	100	133
129	101	132
130	102	131
131	102	130
132	103	130
133	104	129
134	105	128
135	105	127
136	106	126
137	107	126
138	108	125
139	109	124
140	109	123
141	110	123
142	111	122
143	112	121
144	112	120
145	113	119
146	114	119
147	115	118
148	115	117
149	116	116
150	117	115
151	118	115
152	119	114
153	119	113
154	120	112
155	121	112
156	122	111
157	123	110
158	124	110
159	124	109
160	125	108
161	126	107
162	127	107
163	128	106
164	129	105
165	129	104
166	130	104
167	131	103
168	132	102
169	133	101
170	133	101
171	134	100
172	135	99
173	136	98
174	137	98
175	138	97
176	139	97
177	140	96
178	141	95
179	143	95
180	144	94
181	144	93
182	145	93
183	146	92
184	147	91
185	148	90
186	148	89
187	149	89
188	150	88
189	151	87
190	151	86
191	152	86
192	153	85
193	154	84
194	155	83
195	156	82
196	157	82
197	157	81
198	158	80
199	159	79
200	160	78
201	160	78
202	161	77
203	162	76
204	163	75
205	164	74
206	164	74
207	165	73
208	166	72
209	167	71
210	168	70
211	168	70
212	169	69
213	170	68
214	171	67
215	171	66
216	172	66
217	173	65
218	174	64
219	174	63
220	175	62
221	176	62
222	177	61
223	178	60
224	178	59
225	179	58
226	180	57
227	181	57
228	181	56
229	182	55
230	183	54
231	184	53
232	184	53
233	185	52
234	186	51
235	187	50
236	188	50
237	188	49
238	189	48
239	190	47
240	191	46
241	192	46
242	192	45
243	193	44
244	194	43
245	195	42
246	196	42
247	196	41
248	197	40
249	198	39
250	199	38
251	199	38
252	200	37
253	201	36
254	202	35
255	202	34
256	203	34
257	204	33
258	205	32
259	205	31
260	206	30
261	207	30
262	208	29
263	209	28
264	210	27
265	211	26
266	212	26
267	212	25
268	213	24
269	214	23
270	215	23
271	216	22
272	216	21
273	217	20
274	218	19
275	219	19
276	219	18
277	220	17
278	221	16
279	222	15
280	222	15
281	223	14
282	224	13
283	225	12
284	226	11
285	226	11
286	227	10
287	228	9
288	229	8
289	230	7
290	230	7
291	231	6
292	232	5
293	233	4
294	233	3
295	234	3
296	235	2
297	236	1
298	236	0
299	237	0
